age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
2 months,A683716,Bird,chicken,brown/yellow,2014-05-14 00:00:00,2014-07-16 13:03:00,2014-07-16 13:03:00,,Partner,Transfer,Intact Female,63,True,2014,5,2014-07,7,2014,2,13,brown,yellow
1 year,A666594,Bird,parakeet,green,2012-11-04 00:00:00,2013-11-10 16:36:00,2013-11-10 16:36:00,,Partner,Transfer,Intact Male,371,False,2012,11,2013-11,11,2013,6,16,green,
2 years,A677677,Bird,bantam,white,2012-04-25 00:00:00,2014-04-29 11:29:00,2014-04-29 11:29:00,,,Adoption,Intact Male,734,False,2012,4,2014-04,4,2014,1,11,white,
2 weeks,A680862,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
1 year,A674618,Bird,lark,brown/black,2013-03-15 00:00:00,2014-03-15 17:54:00,2014-03-15 17:54:00,,Suffering,Euthanasia,Unknown,365,True,2013,3,2014-03,3,2014,5,17,brown,black
6 months,A687623,Bird,chicken,brown,2014-03-07 00:00:00,2014-09-18 10:17:00,2014-09-18 10:17:00,,Suffering,Euthanasia,Unknown,195,True,2014,3,2014-09,9,2014,3,10,brown,
2 weeks,A680857,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
1 year,A694113,Bird,chicken,brown/black,2013-06-20 00:00:00,2014-12-23 00:00:00,2014-12-23 00:00:00,Rooster,Partner,Transfer,Intact Male,551,False,2013,6,2014-12,12,2014,1,0,brown,black
2 weeks,A680861,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
3 weeks,A683414,Bird,sparrow,brown/black,2014-06-18 00:00:00,2014-07-10 16:43:00,2014-07-10 16:43:00,,Partner,Transfer,Unknown,22,True,2014,6,2014-07,7,2014,3,16,brown,black
1 year,A690593,Bird,chicken,brown/white,2013-10-23 00:00:00,2014-10-29 11:56:00,2014-10-29 11:56:00,,Partner,Transfer,Intact Female,371,False,2013,10,2014-10,10,2014,2,11,brown,white
4 months,A679700,Bird,parrot,green/white,2014-01-25 00:00:00,2014-05-30 18:24:00,2014-05-30 18:24:00,,,Adoption,Unknown,125,True,2014,1,2014-05,5,2014,4,18,green,white
1 year,A686106,Bird,parrot,green,2013-08-16 00:00:00,2014-08-16 15:29:00,2014-08-16 15:29:00,Polly,Partner,Transfer,Intact Female,365,True,2013,8,2014-08,8,2014,5,15,green,
1 year,A672940,Bird,chicken,red/black,2013-02-18 00:00:00,2014-03-03 12:16:00,2014-03-03 12:16:00,,,Adoption,Intact Male,378,False,2013,2,2014-03,3,2014,0,12,red,black
2 weeks,A680863,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
3 weeks,A674004,Bird,duck,yellow,2014-02-11 00:00:00,2014-03-06 12:28:00,2014-03-06 12:28:00,,Partner,Transfer,Unknown,23,True,2014,2,2014-03,3,2014,3,12,yellow,
3 weeks,A674005,Bird,duck,yellow,2014-02-11 00:00:00,2014-03-06 12:28:00,2014-03-06 12:28:00,,Partner,Transfer,Unknown,23,True,2014,2,2014-03,3,2014,3,12,yellow,
2 years,A687087,Bird,dove,gray/white,2012-08-31 00:00:00,2014-08-31 11:17:00,2014-08-31 11:17:00,,Suffering,Euthanasia,Unknown,730,False,2012,8,2014-08,8,2014,6,11,gray,white
2 weeks,A680859,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
2 months,A688000,Bird,bantam,white,2014-07-12 00:00:00,2014-09-17 00:00:00,2014-09-17 00:00:00,,Partner,Transfer,Unknown,67,True,2014,7,2014-09,9,2014,2,0,white,
